Time,NetworkLoad,Delay
1,0,1
9,0.0695557,0.014396115161
59,0.021273,0.240091974858
231,0.0113643,0.013668710319
749,0.00617744,0.308585304085
1663,0.00360843,0.226628418089
2844,0.00281365,0.720988406397
4623,0.00224424,0.063540127575
5583,0.00199268,0.053849584578
7651,0.00174814,0.019311261974
7882,0.00171279,0.127498009922
10198,0.00142186,0.112798209988
11610,0.0013567,0.941447548614
12664,0.00130294,0.297607843597
15791,0.00113204,0.890299399393
17885,0.00102042,0.205496995048
18096,0.00102236,0.53146304073
20297,0.000966936,0.926055393479
21659,0.00094076,0.984167942351
23791,0.000898482,0.861294605595
25078,0.0008723,0.627641144329
25502,0.000862695,0.532123855105
36544,0.000725158,0.232043400213
39152,0.000692815,0.125009679418
40519,0.000678708,0.850907366418
46815,0.000614123,0.286538241986
50056,0.000594341,0.553285179499
71283,0.000492754,0.023964807567
88548,0.000427734,0.079210317717
106310,0.000385667,0.691738636581
110733,0.000378163,0.396292931319
115158,0.000366888,0.195988958474
129328,0.000346988,0.763934083614
129677,0.000347016,0.074565334398
146220,0.000321434,0.28400019036
162433,0.000302434,0.66280896378
165632,0.000298101,0.455459964718
169324,0.000297507,0.243379784762
184347,0.000282755,0.17453593195
194548,0.000271785,0.829663005092
197921,0.000269679,0.422818235621
202171,0.000267102,0.856174910357
232125,0.000246096,0.495293748241
276993,0.000226992,0.703651677593
323591,0.000208211,0.626404315689
335564,0.000204134,0.042654035841
346720,0.000199008,0.146232317411
359492,0.000193676,0.004328189101
